area,year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,item,value_hg_ha
Albania,2011,1485,1302.63,16.45,Potatoes,242211
Albania,2011,1485,1302.63,16.45,Soybeans,18519
Albania,2011,1485,1302.63,16.45,Wheat,42301
Albania,2012,1485,766.25,16.7,Maize,67290
Albania,2012,1485,766.25,16.7,Potatoes,250538
Albania,2012,1485,766.25,16.7,Soybeans,13333
Albania,2012,1485,766.25,16.7,Wheat,41096
Albania,2013,1485,982.32,17.41,Maize,69533
Albania,2013,1485,982.32,17.41,Potatoes,260110
Albania,2013,1485,982.32,17.41,Soybeans,10000
Albania,2013,1485,982.32,17.41,Wheat,41292
Algeria,1990,89,1828.92,17.48,Maize,16500
Algeria,1990,89,1828.92,17.48,Potatoes,78936
Algeria,1990,89,1828.92,17.48,"Rice, paddy",28000
Algeria,1990,89,1828.92,17.48,Sorghum,16571
Algeria,1990,89,1828.92,17.48,Wheat,6315
Algeria,1991,89,2461.8,16.26,Maize,19231
Algeria,1991,89,2461.8,16.26,Potatoes,90747
Algeria,1991,89,2461.8,16.26,"Rice, paddy",26786
Algeria,1991,89,2461.8,16.26,Sorghum,24231
Algeria,1991,89,2461.8,16.26,Wheat,10809
Algeria,1992,89,1215.47,16.27,Maize,22828
Algeria,1992,89,1215.47,16.27,Potatoes,107917
Algeria,1992,89,1215.47,16.27,"Rice, paddy",24733
Algeria,1992,89,1215.47,16.27,Sorghum,40000
Algeria,1992,89,1215.47,16.27,Wheat,9939
Algeria,1993,89,1021.89,17,Maize,12500
Algeria,1993,89,1021.89,17,Potatoes,111215
Algeria,1993,89,1021.89,17,"Rice, paddy",23111
Algeria,1993,89,1021.89,17,Sorghum,50000
Algeria,1993,89,1021.89,17,Wheat,8097
Algeria,1994,89,1255.02,17.88,Maize,4512
Algeria,1994,89,1255.02,17.88,Potatoes,95078
Algeria,1994,89,1255.02,17.88,"Rice, paddy",21374
Algeria,1994,89,1255.02,17.88,Wheat,7999
Algeria,1995,89,2697.09,17.36,Maize,16115
Algeria,1995,89,2697.09,17.36,Potatoes,136768
Algeria,1995,89,2697.09,17.36,"Rice, paddy",19598
Algeria,1995,89,2697.09,17.36,Sorghum,12667
Algeria,1995,89,2697.09,17.36,Wheat,8924
Algeria,1996,89,479.77,16.76,Maize,17154
Algeria,1996,89,479.77,16.76,Potatoes,134629
Algeria,1996,89,479.77,16.76,"Rice, paddy",17861
Algeria,1996,89,479.77,16.76,Sorghum,14750
Algeria,1996,89,479.77,16.76,Wheat,13090
Algeria,1997,89,401.22,17.84,Maize,21417
Algeria,1997,89,401.22,17.84,Potatoes,141042
Algeria,1997,89,401.22,17.84,"Rice, paddy",15000
Algeria,1997,89,401.22,17.84,Sorghum,40000
Algeria,1997,89,401.22,17.84,Wheat,8016
Algeria,1998,89,322.84,17.14,Maize,17222
Algeria,1998,89,322.84,17.14,Potatoes,160256
Algeria,1998,89,322.84,17.14,"Rice, paddy",15000
Algeria,1998,89,322.84,17.14,Sorghum,24500
Algeria,1998,89,322.84,17.14,Wheat,8847
Algeria,1999,89,654.45,17.97,Maize,22375
Algeria,1999,89,654.45,17.97,Potatoes,153532
Algeria,1999,89,654.45,17.97,"Rice, paddy",13942
Algeria,1999,89,654.45,17.97,Sorghum,27000
Algeria,1999,89,654.45,17.97,Wheat,10711
Algeria,2000,89,603.67,17.9,Maize,36186
Algeria,2000,89,603.67,17.9,Potatoes,166143
Algeria,2000,89,603.67,17.9,"Rice, paddy",13052
Algeria,2000,89,603.67,17.9,Sorghum,69500
Algeria,2000,89,603.67,17.9,Wheat,9194
Algeria,2001,89,710.11,18.13,Maize,27175
Algeria,2001,89,710.11,18.13,Potatoes,147018
Algeria,2001,89,710.11,18.13,"Rice, paddy",12314
Algeria,2001,89,710.11,18.13,Sorghum,27750
Algeria,2001,89,710.11,18.13,Wheat,11104
Algeria,2002,89,816.55,17.85,Maize,33480
Algeria,2002,89,816.55,17.85,Potatoes,183774
Algeria,2002,89,816.55,17.85,"Rice, paddy",12959
Algeria,2002,89,816.55,17.85,Sorghum,33900
Algeria,2002,89,816.55,17.85,Wheat,10739
Algeria,2004,89,3747.86,17.38,Maize,31729
Algeria,2004,89,3747.86,17.38,Potatoes,203585
Algeria,2004,89,3747.86,17.38,"Rice, paddy",12829
Algeria,2004,89,3747.86,17.38,Sorghum,43316
Algeria,2004,89,3747.86,17.38,Wheat,13582
Algeria,2005,89,3662.87,17.19,Maize,33864
Algeria,2005,89,3662.87,17.19,Potatoes,216267
Algeria,2005,89,3662.87,17.19,"Rice, paddy",12998
Algeria,2005,89,3662.87,17.19,Sorghum,33486
Algeria,2005,89,3662.87,17.19,Wheat,15057
Algeria,2006,89,4110.72,18.13,Maize,65668
Algeria,2006,89,4110.72,18.13,Potatoes,220689
Algeria,2006,89,4110.72,18.13,"Rice, paddy",12769
Algeria,2006,89,4110.72,18.13,Sorghum,56728
Algeria,2006,89,4110.72,18.13,Wheat,15068
Algeria,2007,89,5390.79,17.42,Maize,85625
Algeria,2007,89,5390.79,17.42,Potatoes,189927
Algeria,2007,89,5390.79,17.42,"Rice, paddy",13375
Algeria,2007,89,5390.79,17.42,Sorghum,119059
Algeria,2007,89,5390.79,17.42,Wheat,12742
Algeria,2008,89,11556.12,17.55,Maize,44714
Algeria,2008,89,11556.12,17.55,Potatoes,236393
Algeria,2008,89,11556.12,17.55,"Rice, paddy",13952
Algeria,2008,89,11556.12,17.55,Sorghum,61786
Algeria,2008,89,11556.12,17.55,Wheat,11038
Algeria,2009,89,3867.99,17.78,Maize,30914
Algeria,2009,89,3867.99,17.78,Potatoes,250764
Algeria,2009,89,3867.99,17.78,"Rice, paddy",14594
Algeria,2009,89,3867.99,17.78,Sorghum,90465
Algeria,2009,89,3867.99,17.78,Wheat,15975
Algeria,2010,89,1295.88,17.59,Maize,25827
Algeria,2010,89,1295.88,17.59,Potatoes,270526
Algeria,2010,89,1295.88,17.59,"Rice, paddy",15305
Algeria,2010,89,1295.88,17.59,Sorghum,30286
Algeria,2010,89,1295.88,17.59,Wheat,14838
Algeria,2011,89,13861.76,17.79,Maize,23374
Algeria,2011,89,13861.76,17.79,Potatoes,292806
Algeria,2011,89,13861.76,17.79,"Rice, paddy",16081
Algeria,2011,89,13861.76,17.79,Sorghum,100000
Algeria,2011,89,13861.76,17.79,Wheat,17405
Algeria,2012,89,17379.76,17.91,Maize,25583
Algeria,2012,89,17379.76,17.91,Potatoes,304291
Algeria,2012,89,17379.76,17.91,"Rice, paddy",16667
Algeria,2012,89,17379.76,17.91,Sorghum,206000
Algeria,2012,89,17379.76,17.91,Wheat,17639
Algeria,2013,89,17278.65,17.65,Maize,33649
Algeria,2013,89,17278.65,17.65,Potatoes,303218
Algeria,2013,89,17278.65,17.65,"Rice, paddy",17778
Algeria,2013,89,17278.65,17.65,Sorghum,60000
Algeria,2013,89,17278.65,17.65,Wheat,19100
Angola,1990,1010,64,24.12,Cassava,41177
Angola,1990,1010,64,24.12,Maize,2736
Angola,1990,1010,64,24.12,Potatoes,40000
Angola,1990,1010,64,24.12,"Rice, paddy",9512
Angola,1990,1010,64,24.12,Sweet potatoes,89342
Angola,1990,1010,64,24.12,Wheat,7995
Angola,1991,1010,79,24.02,Cassava,40295
Angola,1991,1010,79,24.02,Maize,4013
Angola,1991,1010,79,24.02,Potatoes,40000
Angola,1991,1010,79,24.02,"Rice, paddy",10000
Angola,1991,1010,79,24.02,Sweet potatoes,83001
Angola,1991,1010,79,24.02,Wheat,8000
Angola,1992,1010,23,23.96,Cassava,42295
Angola,1992,1010,23,23.96,Maize,3778
Angola,1992,1010,23,23.96,Potatoes,40000
Angola,1992,1010,23,23.96,"Rice, paddy",9106
Angola,1992,1010,23,23.96,Sweet potatoes,90000
Angola,1992,1010,23,23.96,Wheat,8000
Angola,1993,1010,169,24.15,Cassava,42295
Angola,1993,1010,169,24.15,Maize,2627
Angola,1993,1010,169,24.15,Potatoes,70000
Angola,1993,1010,169,24.15,"Rice, paddy",8000
Angola,1993,1010,169,24.15,Sweet potatoes,88095
Angola,1993,1010,169,24.15,Wheat,8876
Angola,1994,1010,25.5,24.04,Cassava,58596
Angola,1994,1010,25.5,24.04,Maize,2463
Angola,1994,1010,25.5,24.04,Potatoes,90000
Angola,1994,1010,25.5,24.04,"Rice, paddy",8750
Angola,1994,1010,25.5,24.04,Sweet potatoes,83192
Angola,1994,1010,25.5,24.04,Wheat,10000
Angola,1995,1010,336,24.56,Cassava,51000
Angola,1995,1010,336,24.56,Maize,3517
Angola,1995,1010,336,24.56,Potatoes,76738
Angola,1995,1010,336,24.56,"Rice, paddy",14615
Angola,1995,1010,336,24.56,Sweet potatoes,81138
Angola,1995,1010,336,24.56,Wheat,11855
Angola,1996,1010,40,24.11,Cassava,48077
Angola,1996,1010,40,24.11,Maize,6993
Angola,1996,1010,40,24.11,Potatoes,70000
Angola,1996,1010,40,24.11,"Rice, paddy",17500
Angola,1996,1010,40,24.11,Sweet potatoes,85455
Angola,1996,1010,40,24.11,Wheat,13738
Angola,1997,1010,40,24.06,Cassava,44205
Angola,1997,1010,40,24.06,Maize,5959
Angola,1997,1010,40,24.06,Potatoes,68571
Angola,1997,1010,40,24.06,"Rice, paddy",20000
Angola,1997,1010,40,24.06,Sweet potatoes,78098
Angola,1997,1010,40,24.06,Wheat,15509
Angola,1998,1010,40,24.96,Cassava,55728
Angola,1998,1010,40,24.96,Maize,7396
Angola,1998,1010,40,24.96,Potatoes,62724
Angola,1998,1010,40,24.96,"Rice, paddy",20000
Angola,1998,1010,40,24.96,Sweet potatoes,76256
Angola,1998,1010,40,24.96,Wheat,17143
Angola,1999,1010,40,24.37,Cassava,59821
Angola,1999,1010,40,24.37,Maize,6361
Angola,1999,1010,40,24.37,Potatoes,54597
Angola,1999,1010,40,24.37,"Rice, paddy",14235
Angola,1999,1010,40,24.37,Sweet potatoes,82865
Angola,1999,1010,40,24.37,Wheat,17391
Angola,2000,1010,40,24.41,Cassava,82992
Angola,2000,1010,40,24.41,Maize,5745
Angola,2000,1010,40,24.41,Potatoes,29885
Angola,2000,1010,40,24.41,"Rice, paddy",13454
Angola,2000,1010,40,24.41,Sorghum,3333
Angola,2000,1010,40,24.41,Soybeans,2333
Angola,2000,1010,40,24.41,Sweet potatoes,34938
Angola,2000,1010,40,24.41,Wheat,17023
Angola,2001,1010,40,24.43,Cassava,94072
Angola,2001,1010,40,24.43,Maize,5754
Angola,2001,1010,40,24.43,Potatoes,42552
Angola,2001,1010,40,24.43,"Rice, paddy",13701
Angola,2001,1010,40,24.43,Sorghum,3571
Angola,2001,1010,40,24.43,Soybeans,2500
Angola,2001,1010,40,24.43,Sweet potatoes,44458
Angola,2001,1010,40,24.43,Wheat,16667
Angola,2002,1010,40,24.79,Cassava,110071
Angola,2002,1010,40,24.79,Maize,6706
Angola,2002,1010,40,24.79,Potatoes,42754
Angola,2002,1010,40,24.79,"Rice, paddy",13198
Angola,2002,1010,40,24.79,Sorghum,3400
Angola,2002,1010,40,24.79,Soybeans,2857
Angola,2002,1010,40,24.79,Sweet potatoes,42190
Angola,2002,1010,40,24.79,Wheat,15455
Angola,2004,1010,40,24.22,Cassava,125605
Angola,2004,1010,40,24.22,Maize,5404
Angola,2004,1010,40,24.22,Potatoes,20150
Angola,2004,1010,40,24.22,"Rice, paddy",11584
Angola,2004,1010,40,24.22,Sorghum,3333
Angola,2004,1010,40,24.22,Soybeans,3600
Angola,2004,1010,40,24.22,Sweet potatoes,45360
Angola,2004,1010,40,24.22,Wheat,12442
Angola,2005,1010,40,24.41,Cassava,117628
Angola,2005,1010,40,24.41,Maize,6736
Angola,2005,1010,40,24.41,Potatoes,23646
Angola,2005,1010,40,24.41,"Rice, paddy",6977
Angola,2005,1010,40,24.41,Sorghum,3333
Angola,2005,1010,40,24.41,Soybeans,3793
Angola,2005,1010,40,24.41,Sweet potatoes,46159
Angola,2005,1010,40,24.41,Wheat,10946
Angola,2006,1010,40,24.14,Cassava,117201
Angola,2006,1010,40,24.14,Maize,4687
Angola,2006,1010,40,24.14,Potatoes,52148
Angola,2006,1010,40,24.14,"Rice, paddy",4947
Angola,2006,1010,40,24.14,Sorghum,4091
Angola,2006,1010,40,24.14,Soybeans,4286
Angola,2006,1010,40,24.14,Sweet potatoes,44240
Angola,2006,1010,40,24.14,Wheat,10000
Angola,2007,1010,40,24.24,Cassava,115387
Angola,2007,1010,40,24.24,Maize,5091
Angola,2007,1010,40,24.24,Potatoes,62138
Angola,2007,1010,40,24.24,"Rice, paddy",5143
Angola,2007,1010,40,24.24,Sorghum,4031
Angola,2007,1010,40,24.24,Soybeans,6883
Angola,2007,1010,40,24.24,Sweet potatoes,58855
Angola,2007,1010,40,24.24,Wheat,10000
Angola,2008,1010,40,24.27,Cassava,148084
Angola,2008,1010,40,24.27,Maize,7946
Angola,2008,1010,40,24.27,Potatoes,85085
Angola,2008,1010,40,24.27,"Rice, paddy",5084
Angola,2008,1010,40,24.27,Sorghum,929
Angola,2008,1010,40,24.27,Soybeans,8575
Angola,2008,1010,40,24.27,Sweet potatoes,65437
Angola,2008,1010,40,24.27,Wheat,10000
Angola,2009,1010,40,24.33,Cassava,151759
Angola,2009,1010,40,24.33,Maize,6614
Angola,2009,1010,40,24.33,Potatoes,86509
Angola,2009,1010,40,24.33,"Rice, paddy",6028
Angola,2009,1010,40,24.33,Sorghum,2480
Angola,2009,1010,40,24.33,Soybeans,4449
Angola,2009,1010,40,24.33,Sweet potatoes,66475
Angola,2009,1010,40,24.33,Wheat,10000
Angola,2010,1010,40,24.44,Cassava,155782
Angola,2010,1010,40,24.44,Maize,7200
Angola,2010,1010,40,24.44,Potatoes,87425
Angola,2010,1010,40,24.44,"Rice, paddy",7403
Angola,2010,1010,40,24.44,Sorghum,2814
Angola,2010,1010,40,24.44,Soybeans,4446
Angola,2010,1010,40,24.44,Sweet potatoes,63001
Angola,2010,1010,40,24.44,Wheat,10526
Angola,2011,1010,40,24.15,Cassava,133649
Angola,2011,1010,40,24.15,Maize,7376
Angola,2011,1010,40,24.15,Potatoes,81366
Angola,2011,1010,40,24.15,"Rice, paddy",8914
Angola,2011,1010,40,24.15,Sorghum,3320
Angola,2011,1010,40,24.15,Soybeans,5294
Angola,2011,1010,40,24.15,Sweet potatoes,65512
Angola,2011,1010,40,24.15,Wheat,10959
Angola,2012,1010,40,24.24,Cassava,100073
Angola,2012,1010,40,24.24,Maize,7770
Angola,2012,1010,40,24.24,Potatoes,69381
Angola,2012,1010,40,24.24,"Rice, paddy",7703
Angola,2012,1010,40,24.24,Sorghum,998
Angola,2012,1010,40,24.24,Soybeans,1641
Angola,2012,1010,40,24.24,Sweet potatoes,52954
Angola,2012,1010,40,24.24,Wheat,11258
Angola,2013,1010,40,24.55,Cassava,140517
Angola,2013,1010,40,24.55,Maize,9467
Angola,2013,1010,40,24.55,Potatoes,63303
Angola,2013,1010,40,24.55,"Rice, paddy",12744
Angola,2013,1010,40,24.55,Sorghum,2415
Angola,2013,1010,40,24.55,Soybeans,4405
Angola,2013,1010,40,24.55,Sweet potatoes,73409
Angola,2013,1010,40,24.55,Wheat,9022
Argentina,1990,591,26156,17.46,Cassava,100000
Argentina,1990,591,26156,17.46,Maize,34608
Argentina,1990,591,26156,17.46,Potatoes,202747
Argentina,1990,591,26156,17.46,"Rice, paddy",36709
Argentina,1990,591,26156,17.46,Sorghum,28116
Argentina,1990,591,26156,17.46,Soybeans,21566
Argentina,1990,591,26156,17.46,Sweet potatoes,131864
Argentina,1990,591,26156,17.46,Wheat,18947
Argentina,1990,591,26156,17.67,Cassava,100000
Argentina,1990,591,26156,17.67,Maize,34608
Argentina,1990,591,26156,17.67,Potatoes,202747
Argentina,1990,591,26156,17.67,"Rice, paddy",36709
Argentina,1990,591,26156,17.67,Sorghum,28116
Argentina,1990,591,26156,17.67,Soybeans,21566
Argentina,1990,591,26156,17.67,Sweet potatoes,131864
Argentina,1990,591,26156,17.67,Wheat,18947
Argentina,1991,591,26156,17.64,Cassava,100000
Argentina,1991,591,26156,17.64,Maize,40444
Argentina,1991,591,26156,17.64,Potatoes,205692
Argentina,1991,591,26156,17.64,"Rice, paddy",40294
Argentina,1991,591,26156,17.64,Sorghum,33320
Argentina,1991,591,26156,17.64,Soybeans,22750
Argentina,1991,591,26156,17.64,Sweet potatoes,131364
Argentina,1991,591,26156,17.64,Wheat,18972
Argentina,1991,591,26156,17.86,Cassava,100000
Argentina,1991,591,26156,17.86,Maize,40444
Argentina,1991,591,26156,17.86,Potatoes,205692
Argentina,1991,591,26156,17.86,"Rice, paddy",40294
Argentina,1991,591,26156,17.86,Sorghum,33320
Argentina,1991,591,26156,17.86,Soybeans,22750
Argentina,1991,591,26156,17.86,Sweet potatoes,131364
Argentina,1991,591,26156,17.86,Wheat,18972
Argentina,1992,591,26156,17.09,Cassava,100000
Argentina,1992,591,26156,17.09,Maize,45237
Argentina,1992,591,26156,17.09,Potatoes,199039
Argentina,1992,591,26156,17.09,"Rice, paddy",52075
Argentina,1992,591,26156,17.09,Sorghum,36217
Argentina,1992,591,26156,17.09,Soybeans,22915
Argentina,1992,591,26156,17.09,Sweet potatoes,127273
Argentina,1992,591,26156,17.09,Wheat,21809
Argentina,1992,591,26156,17.51,Cassava,100000
Argentina,1992,591,26156,17.51,Maize,45237
Argentina,1992,591,26156,17.51,Potatoes,199039
Argentina,1992,591,26156,17.51,"Rice, paddy",52075
Argentina,1992,591,26156,17.51,Sorghum,36217
Argentina,1992,591,26156,17.51,Soybeans,22915
Argentina,1992,591,26156,17.51,Sweet potatoes,127273
Argentina,1992,591,26156,17.51,Wheat,21809
Argentina,1993,591,26156,17.32,Cassava,100000
Argentina,1993,591,26156,17.32,Maize,43552
Argentina,1993,591,26156,17.32,Potatoes,210314
Argentina,1993,591,26156,17.32,"Rice, paddy",43559
Argentina,1993,591,26156,17.32,Sorghum,39529
Argentina,1993,591,26156,17.32,Soybeans,21589
Argentina,1993,591,26156,17.32,Sweet potatoes,122955
Argentina,1993,591,26156,17.32,Wheat,23272
Argentina,1993,591,26156,17.53,Cassava,100000
Argentina,1993,591,26156,17.53,Maize,43552
Argentina,1993,591,26156,17.53,Potatoes,210314
Argentina,1993,591,26156,17.53,"Rice, paddy",43559
Argentina,1993,591,26156,17.53,Sorghum,39529
Argentina,1993,591,26156,17.53,Soybeans,21589
Argentina,1993,591,26156,17.53,Sweet potatoes,122955
Argentina,1993,591,26156,17.53,Wheat,23272
Argentina,1994,591,30195,18.17,Cassava,100000
Argentina,1994,591,30195,18.17,Maize,42371
Argentina,1994,591,30195,18.17,Potatoes,230166
Argentina,1994,591,30195,18.17,"Rice, paddy",42989
Argentina,1994,591,30195,18.17,Sorghum,35065
Argentina,1994,591,30195,18.17,Soybeans,20386
Argentina,1994,591,30195,18.17,Sweet potatoes,176667
Argentina,1994,591,30195,18.17,Wheat,20237
Argentina,1994,591,30195,18.31,Cassava,100000
Argentina,1994,591,30195,18.31,Maize,42371
Argentina,1994,591,30195,18.31,Potatoes,230166
Argentina,1994,591,30195,18.31,"Rice, paddy",42989
Argentina,1994,591,30195,18.31,Sorghum,35065
Argentina,1994,591,30195,18.31,Soybeans,20386
Argentina,1994,591,30195,18.31,Sweet potatoes,176667
Argentina,1994,591,30195,18.31,Wheat,20237
Argentina,1995,591,37842,17.74,Cassava,100000
Argentina,1995,591,37842,17.74,Maize,45223
Argentina,1995,591,37842,17.74,Potatoes,274272
Argentina,1995,591,37842,17.74,"Rice, paddy",50306
Argentina,1995,591,37842,17.74,Sorghum,34588
Argentina,1995,591,37842,17.74,Soybeans,20446
Argentina,1995,591,37842,17.74,Sweet potatoes,168000
Argentina,1995,591,37842,17.74,Wheat,21675
Argentina,1995,591,37842,17.62,Cassava,100000
Argentina,1995,591,37842,17.62,Maize,45223
Argentina,1995,591,37842,17.62,Potatoes,274272
Argentina,1995,591,37842,17.62,"Rice, paddy",50306
Argentina,1995,591,37842,17.62,Sorghum,34588
Argentina,1995,591,37842,17.62,Soybeans,20446
Argentina,1995,591,37842,17.62,Sweet potatoes,168000
Argentina,1995,591,37842,17.62,Wheat,21675
Argentina,1996,591,54595,17.64,Cassava,100000
Argentina,1996,591,54595,17.64,Maize,40397
Argentina,1996,591,54595,17.64,Potatoes,228877
Argentina,1996,591,54595,17.64,"Rice, paddy",51031
Argentina,1996,591,54595,17.64,Sorghum,38763
Argentina,1996,591,54595,17.64,Soybeans,21051
Argentina,1996,591,54595,17.64,Sweet potatoes,170000
Argentina,1996,591,54595,17.64,Wheat,19344
Argentina,1996,591,54595,17.97,Cassava,100000
Argentina,1996,591,54595,17.97,Maize,40397
Argentina,1996,591,54595,17.97,Potatoes,228877
Argentina,1996,591,54595,17.97,"Rice, paddy",51031
Argentina,1996,591,54595,17.97,Sorghum,38763
Argentina,1996,591,54595,17.97,Soybeans,21051
Argentina,1996,591,54595,17.97,Sweet potatoes,170000
Argentina,1996,591,54595,17.97,Wheat,19344
Argentina,1997,591,77691,18.29,Cassava,100000
Argentina,1997,591,77691,18.29,Maize,45557
Argentina,1997,591,77691,18.29,Potatoes,268502
Argentina,1997,591,77691,18.29,"Rice, paddy",53703
Argentina,1997,591,77691,18.29,Sorghum,36845
Argentina,1997,591,77691,18.29,Soybeans,17212
Argentina,1997,591,77691,18.29,Sweet potatoes,145662
Argentina,1997,591,77691,18.29,Wheat,22426
Argentina,1997,591,77691,18.54,Cassava,100000
Argentina,1997,591,77691,18.54,Maize,45557
Argentina,1997,591,77691,18.54,Potatoes,268502
Argentina,1997,591,77691,18.54,"Rice, paddy",53703
Argentina,1997,591,77691,18.54,Sorghum,36845
Argentina,1997,591,77691,18.54,Soybeans,17212
Argentina,1997,591,77691,18.54,Sweet potatoes,145662
Argentina,1997,591,77691,18.54,Wheat,22426
Argentina,1998,591,62397,17.23,Cassava,100000
Argentina,1998,591,62397,17.23,Maize,60780
Argentina,1998,591,62397,17.23,Potatoes,293744
Argentina,1998,591,62397,17.23,"Rice, paddy",47762
Argentina,1998,591,62397,17.23,Sorghum,48105
Argentina,1998,591,62397,17.23,Soybeans,26937
Argentina,1998,591,62397,17.23,Sweet potatoes,175055
Argentina,1998,591,62397,17.23,Wheat,26088
Argentina,1998,591,62397,17.52,Cassava,100000
Argentina,1998,591,62397,17.52,Maize,60780
Argentina,1998,591,62397,17.52,Potatoes,293744
Argentina,1998,591,62397,17.52,"Rice, paddy",47762
Argentina,1998,591,62397,17.52,Sorghum,48105
Argentina,1998,591,62397,17.52,Soybeans,26937
Argentina,1998,591,62397,17.52,Sweet potatoes,175055
Argentina,1998,591,62397,17.52,Wheat,26088
Argentina,1999,591,62831.39,17.15,Cassava,100000
Argentina,1999,591,62831.39,17.15,Maize,53702
Argentina,1999,591,62831.39,17.15,Potatoes,238938
Argentina,1999,591,62831.39,17.15,"Rice, paddy",57337
Argentina,1999,591,62831.39,17.15,Sorghum,43845
Argentina,1999,591,62831.39,17.15,Soybeans,24450
Argentina,1999,591,62831.39,17.15,Sweet potatoes,143991
Argentina,1999,591,62831.39,17.15,Wheat,23028
Argentina,1999,591,62831.39,17.71,Cassava,100000
