Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,"Rice, paddy",2005,82857,930.9,60112.4,27.25
Albania,"Rice, paddy",2006,106095,1319.1,74116.85,26.63
Albania,"Rice, paddy",2007,87611,1731.4,66930.44,27.16
Albania,"Rice, paddy",2008,92061,921.9,42372.53,28.58
Albania,"Rice, paddy",2009,109047,1110.5,92161.19,28.2
Albania,"Rice, paddy",2010,101825,1042.3,61628.56,28.26
Albania,"Rice, paddy",2011,107277,942.1,70798.69,26.19
Albania,"Rice, paddy",2012,93171,1288.4,46692.85,29.83
Albania,"Rice, paddy",2013,103320,1386.4,80735.21,27.1
Albania,Wheat,1995,71420,870.8,55005.48,29.23
Albania,Wheat,1996,69894,1152.8,87785.84,27.43
Albania,Wheat,1997,76041,1406.0,74029.09,27.03
Albania,Wheat,1998,64886,1144.9,57705.89,27.3
Albania,Wheat,1999,67566,1134.1,41905.33,25.64
Albania,Wheat,2000,54458,708.3,71272.44,27.59
Albania,Wheat,2001,74245,909.3,67777.21,26.48
Albania,Wheat,2002,58564,1230.7,44869.37,24.98
Albania,Wheat,2003,75307,1639.4,74088.45,29.96
Albania,Wheat,2004,74543,1121.1,57633.23,27.72
Albania,Wheat,2005,57211,1024.0,44866.16,24.34
Albania,Wheat,2006,56205,956.0,49984.86,29.67
Albania,Wheat,2007,76328,1199.7,78635.7,24.43
Albania,Wheat,2008,65196,1216.8,73333.38,29.66
Albania,Wheat,2009,57987,977.0,81155.33,24.97
Albania,Wheat,2010,64299,1089.6,46487.52,30.01
Albania,Wheat,2011,64376,860.9,64318.28,26.85
Albania,Wheat,2012,64634,1489.3,43958.77,29.13
Albania,Wheat,2013,70340,1166.7,86834.63,30.77
Albania,Soybeans,1995,50726,1037.3,70405.86,27.11
Albania,Soybeans,1996,40589,668.4,73557.23,29.06
Albania,Soybeans,1997,51618,1240.9,60121.53,27.13
Albania,Soybeans,1998,48259,986.8,56703.41,27.35
Albania,Soybeans,1999,46122,960.9,76734.41,26.45
Albania,Soybeans,2000,40885,1181.5,82480.64,27.94
Albania,Soybeans,2001,53903,1227.2,82777.41,25.88
Albania,Soybeans,2002,41439,716.5,81293.95,25.06
Albania,Soybeans,2003,39824,1455.4,80261.22,26.31
Albania,Soybeans,2004,40994,1120.5,84171.69,28.5
Albania,Soybeans,2005,48266,1069.2,41302.12,28.38
Albania,Soybeans,2006,52665,1066.2,90926.61,26.03
Albania,Soybeans,2007,41465,1550.5,64607.49,28.72
Albania,Soybeans,2008,51899,1398.9,80746.93,25.1
Albania,Soybeans,2009,42694,984.0,70175.38,27.0
Albania,Soybeans,2010,36961,1073.8,47501.24,28.3
Albania,Soybeans,2011,36332,1280.9,46780.85,29.19
Albania,Soybeans,2012,47550,1054.5,84889.37,27.34
Albania,Soybeans,2013,54907,1407.8,91618.33,26.25
Albania,Sorghum,1995,55387,935.7,43932.03,29.19
Albania,Sorghum,1996,43409,637.7,87422.88,29.53
Albania,Sorghum,1997,44743,1023.3,64472.98,27.01
Albania,Sorghum,1998,63530,1373.5,70639.0,28.25
Albania,Sorghum,1999,48495,779.8,85792.88,25.66
Albania,Sorghum,2000,45602,1117.1,92467.93,28.59
Albania,Sorghum,2001,56848,1210.0,67822.25,27.1
Albania,Sorghum,2002,53050,1014.8,73448.13,29.99
Albania,Sorghum,2003,48631,1089.4,73176.75,28.58
Albania,Sorghum,2004,56506,1083.1,59235.33,24.85
Albania,Sorghum,2005,55442,701.0,83624.28,27.59
Albania,Sorghum,2006,61090,1289.0,62895.58,29.38
Albania,Sorghum,2007,64559,1113.6,83693.41,26.56
Albania,Sorghum,2008,64624,1198.8,61166.83,25.26
Albania,Sorghum,2009,52257,1198.4,65914.7,27.46
Albania,Sorghum,2010,61008,1117.9,86908.55,26.93
Albania,Sorghum,2011,63648,1479.4,91247.46,27.51
Albania,Sorghum,2012,63534,1080.9,48378.6,24.46
Albania,Sorghum,2013,54531,852.7,77094.79,27.87
Albania,Cassava,1995,146711,899.7,74928.07,26.53
Albania,Cassava,1996,146755,1111.1,84567.55,29.5
Albania,Cassava,1997,128883,1315.7,61037.6,27.28
Albania,Cassava,1998,127255,1421.4,51115.77,28.42
Albania,Cassava,1999,156169,717.0,63069.25,29.33
Albania,Cassava,2000,150154,1145.8,81435.56,23.54
Albania,Cassava,2001,132427,1321.7,90298.08,27.54
Albania,Cassava,2002,140544,1106.6,53982.4,28.29
Albania,Cassava,2003,151347,1112.4,57818.68,27.66
Albania,Cassava,2004,124965,1090.8,47403.86,26.89
Albania,Cassava,2005,161140,879.5,58950.27,27.79
Albania,Cassava,2006,135426,1577.9,49933.5,26.5
Albania,Cassava,2007,123936,950.4,45646.21,26.12
Albania,Cassava,2008,142515,818.3,60290.77,26.71
Albania,Cassava,2009,155599,1115.4,83346.09,27.08
Albania,Cassava,2010,136216,1329.1,80770.05,26.02
Albania,Cassava,2011,155706,1025.4,66989.05,25.05
Albania,Cassava,2012,128257,1012.0,80968.48,23.51
Albania,Cassava,2013,156742,1341.1,88875.32,25.43
Albania,Sweet potatoes,1995,129824,867.9,63113.03,27.14
Albania,Sweet potatoes,1996,108469,907.5,59536.73,25.57
Albania,Sweet potatoes,1997,111769,856.3,57032.57,25.97
Albania,Sweet potatoes,1998,144525,1141.8,75684.91,28.47
Albania,Sweet potatoes,1999,133652,905.5,68320.62,27.01
Albania,Sweet potatoes,2000,114512,1004.9,46855.37,29.55
Albania,Sweet potatoes,2001,132927,1412.9,70335.39,24.92
Albania,Sweet potatoes,2002,111560,1115.9,52874.6,27.22
Albania,Sweet potatoes,2003,115816,1013.0,48960.06,26.01
Albania,Sweet potatoes,2004,113466,935.5,87877.47,26.14
Albania,Sweet potatoes,2005,108377,571.2,92509.96,28.11
Albania,Sweet potatoes,2006,151363,1211.7,86469.91,26.88
Albania,Sweet potatoes,2007,153318,970.5,76213.64,26.16
Albania,Sweet potatoes,2008,145022,1583.3,55847.99,29.61
Albania,Sweet potatoes,2009,133613,1013.6,63634.73,25.41
Albania,Sweet potatoes,2010,122679,1040.9,73515.36,26.52
Albania,Sweet potatoes,2011,130064,895.2,66810.75,27.44
Albania,Sweet potatoes,2012,110621,1117.1,48655.6,26.36
Albania,Sweet potatoes,2013,142168,1021.4,77611.43,28.23
Albania,Yams,1995,119990,922.7,61238.14,30.91
Albania,Yams,1996,113790,1123.1,49203.29,27.16
Albania,Yams,1997,117892,1197.2,84141.88,29.54
Albania,Yams,1998,115371,963.0,48516.84,27.96
Albania,Yams,1999,128564,1217.4,67580.54,28.67
Albania,Yams,2000,132206,1042.4,83172.09,28.53
Albania,Yams,2001,152502,957.0,56135.87,23.45
Albania,Yams,2002,128979,762.2,87785.53,27.04
Albania,Yams,2003,120814,1310.1,73393.13,27.17
Albania,Yams,2004,117386,1154.2,58263.04,27.92
Albania,Yams,2005,154353,1233.9,68848.48,29.01
Albania,Yams,2006,121396,1018.6,57281.09,27.66
Albania,Yams,2007,134778,1462.0,87183.32,27.66
Albania,Yams,2008,126587,1416.9,48992.71,26.3
Albania,Yams,2009,147887,1349.9,75004.4,28.57
Albania,Yams,2010,115956,782.7,59551.78,27.46
Albania,Yams,2011,133163,1183.3,62578.91,28.35
Albania,Yams,2012,108315,1189.5,73799.33,31.24
Albania,Yams,2013,154562,1545.9,90313.85,27.96
Albania,Plantains and others,1995,176594,1136.9,71509.54,25.19
Albania,Plantains and others,1996,176058,1126.3,88435.62,27.17
Albania,Plantains and others,1997,153147,1648.3,60801.46,27.85
Albania,Plantains and others,1998,167313,1329.4,40135.03,26.08
Albania,Plantains and others,1999,180819,1285.3,88494.5,23.3
Albania,Plantains and others,2000,165281,1381.2,63966.33,25.7
Albania,Plantains and others,2001,169670,858.2,49547.87,26.78
Albania,Plantains and others,2002,183803,1286.8,59471.89,26.76
Albania,Plantains and others,2003,151930,890.0,91146.84,27.84
Albania,Plantains and others,2004,177829,942.0,93153.99,26.75
Albania,Plantains and others,2005,156861,972.7,80259.69,27.25
Albania,Plantains and others,2006,144122,1100.5,50901.63,27.26
Albania,Plantains and others,2007,205488,1695.2,44434.25,25.24
Albania,Plantains and others,2008,184790,1439.3,64322.55,22.76
Albania,Plantains and others,2009,191046,878.8,50799.93,27.34
Albania,Plantains and others,2010,181382,1108.8,55601.26,27.86
Albania,Plantains and others,2011,186498,1066.2,49681.36,26.9
Albania,Plantains and others,2012,157427,1130.2,53270.56,27.06
Albania,Plantains and others,2013,184986,1175.5,51101.59,26.81
India,Maize,1995,98328,958.7,27686.25,10.7
India,Maize,1996,111642,568.4,18396.48,10.97
India,Maize,1997,110794,882.0,20763.95,7.99
India,Maize,1998,95577,699.3,18045.61,11.67
India,Maize,1999,94100,475.8,24555.79,10.96
India,Maize,2000,113679,364.3,18899.57,12.7
India,Maize,2001,99121,706.4,29076.38,10.63
India,Maize,2002,82704,855.4,21430.34,10.23
India,Maize,2003,88231,902.0,25199.24,7.25
India,Maize,2004,101169,875.9,31467.61,9.69
India,Maize,2005,110329,723.5,14662.59,8.74
India,Maize,2006,99503,889.4,19261.97,8.42
India,Maize,2007,84461,1076.7,18196.99,10.74
India,Maize,2008,108657,910.6,25221.74,11.56
India,Maize,2009,77918,453.3,23912.08,7.94
India,Maize,2010,102410,976.2,16391.05,8.83
India,Maize,2011,90279,731.7,20118.44,7.74
India,Maize,2012,99227,655.6,25104.08,11.67
India,Maize,2013,91376,982.8,28135.41,10.28
India,Potatoes,1995,202928,675.6,21836.97,10.18
India,Potatoes,1996,168553,1059.1,15128.04,8.86
India,Potatoes,1997,201484,802.6,25441.54,12.82
India,Potatoes,1998,214043,970.0,27506.55,9.09
India,Potatoes,1999,165513,955.1,19944.83,7.48
India,Potatoes,2000,202988,805.9,16984.0,10.98
India,Potatoes,2001,215661,909.9,27991.74,10.97
India,Potatoes,2002,202939,1013.7,18354.69,10.72
India,Potatoes,2003,205636,928.8,17264.15,10.32
India,Potatoes,2004,233889,600.4,30416.27,11.67
India,Potatoes,2005,228188,833.6,29443.8,11.08
India,Potatoes,2006,206592,1052.7,15108.77,9.16
India,Potatoes,2007,208593,754.7,15928.64,9.49
India,Potatoes,2008,186398,1130.5,15845.46,8.56
India,Potatoes,2009,215555,1176.6,20405.09,10.3
India,Potatoes,2010,168922,921.0,19021.95,11.41
India,Potatoes,2011,228248,884.4,31513.32,11.69
India,Potatoes,2012,212833,756.5,23588.04,12.24
India,Potatoes,2013,221367,776.3,22682.77,12.31
India,"Rice, paddy",1995,77613,709.8,19353.54,9.54
India,"Rice, paddy",1996,67538,585.4,13997.87,8.76
India,"Rice, paddy",1997,91404,802.6,20113.98,10.36
India,"Rice, paddy",1998,86721,1030.8,30052.56,9.65
India,"Rice, paddy",1999,76717,571.3,30986.16,10.6
India,"Rice, paddy",2000,87543,858.9,24388.24,10.78
India,"Rice, paddy",2001,73873,686.0,17723.41,9.14
India,"Rice, paddy",2002,100780,690.0,14993.81,11.89
India,"Rice, paddy",2003,76844,1146.8,26295.01,9.08
India,"Rice, paddy",2004,86825,716.8,18141.78,11.0
India,"Rice, paddy",2005,104262,1182.7,15943.28,12.86
India,"Rice, paddy",2006,98552,711.5,30031.7,9.37
India,"Rice, paddy",2007,89055,913.2,26060.55,10.52
India,"Rice, paddy",2008,76866,815.3,21230.07,8.71
India,"Rice, paddy",2009,79899,851.0,16240.35,12.86
India,"Rice, paddy",2010,85947,748.4,29853.96,10.35
India,"Rice, paddy",2011,85517,1422.2,29509.21,9.14
India,"Rice, paddy",2012,103119,1020.3,19858.85,12.94
India,"Rice, paddy",2013,101941,1004.2,30203.0,11.76
India,Wheat,1995,69308,982.8,25360.43,10.8
India,Wheat,1996,74557,1110.3,16039.22,11.03
India,Wheat,1997,68422,773.5,19251.83,10.22
India,Wheat,1998,63608,895.4,28079.79,9.36
India,Wheat,1999,58126,860.3,24690.07,10.06
India,Wheat,2000,57846,964.3,27403.67,13.45
India,Wheat,2001,62442,881.1,30732.49,12.51
India,Wheat,2002,74049,964.0,15776.4,10.29
India,Wheat,2003,67441,736.1,19373.41,10.3
India,Wheat,2004,65125,867.5,20280.43,8.87
India,Wheat,2005,52497,719.3,27625.54,10.59
India,Wheat,2006,64402,1190.7,26432.06,9.88
India,Wheat,2007,64360,531.7,17447.15,6.47
India,Wheat,2008,66630,629.6,16143.74,11.12
India,Wheat,2009,55340,576.6,31479.99,11.38
India,Wheat,2010,67419,1005.3,22294.22,9.83
India,Wheat,2011,58962,530.7,32300.17,8.88
India,Wheat,2012,52736,817.2,18914.08,10.55
India,Wheat,2013,63525,598.9,30444.38,12.3
India,Soybeans,1995,46548,877.7,26647.32,10.72
India,Soybeans,1996,34982,947.7,15559.86,12.12
India,Soybeans,1997,41278,853.5,27336.12,11.12
India,Soybeans,1998,41211,665.5,17013.68,12.87
India,Soybeans,1999,44266,846.5,18333.28,8.9
India,Soybeans,2000,32404,724.1,13943.98,6.97
India,Soybeans,2001,35336,726.8,24373.04,6.11
India,Soybeans,2002,34987,1003.2,27643.76,10.67
India,Soybeans,2003,46561,621.5,18341.13,9.91
India,Soybeans,2004,42664,837.5,25050.78,8.14
India,Soybeans,2005,40705,793.7,20060.15,10.03
India,Soybeans,2006,33632,791.9,15042.12,8.9
India,Soybeans,2007,42376,629.9,24523.98,9.54
India,Soybeans,2008,34791,728.6,17634.76,10.9
India,Soybeans,2009,49294,1166.1,15373.79,11.47
India,Soybeans,2010,45852,875.4,27363.48,8.95
India,Soybeans,2011,46903,1063.2,21007.72,11.01
India,Soybeans,2012,44395,1160.1,23105.23,10.3
India,Soybeans,2013,35663,1256.2,16730.58,10.31
India,Sorghum,1995,43672,659.0,28414.47,9.21
India,Sorghum,1996,49601,921.3,24801.27,9.07
India,Sorghum,1997,60994,1190.3,17383.02,10.69
India,Sorghum,1998,52760,822.6,16996.47,10.18
India,Sorghum,1999,51759,761.7,28832.95,7.32
India,Sorghum,2000,48316,716.0,19801.34,12.51
India,Sorghum,2001,55143,875.7,21545.14,11.66
India,Sorghum,2002,49726,1067.6,29761.13,9.93
India,Sorghum,2003,43941,977.8,30085.45,7.47
India,Sorghum,2004,46059,1163.1,27064.89,12.2
India,Sorghum,2005,45601,951.0,17488.52,10.41
India,Sorghum,2006,57623,840.7,18791.99,11.87
India,Sorghum,2007,49061,1020.0,20874.33,5.43
India,Sorghum,2008,44384,774.5,31684.98,8.2
India,Sorghum,2009,43250,573.4,28372.02,11.85
India,Sorghum,2010,42463,852.0,19076.1,10.75
India,Sorghum,2011,54260,883.2,20964.85,7.94
India,Sorghum,2012,51451,527.8,25993.07,9.3
India,Sorghum,2013,53036,797.6,15942.88,9.43
India,Cassava,1995,156361,731.5,27930.67,13.31
India,Cassava,1996,118999,1032.9,16866.82,10.37
India,Cassava,1997,156177,794.5,22686.74,9.93
India,Cassava,1998,137217,975.5,19039.6,9.86
India,Cassava,1999,139824,1019.9,21587.65,10.54
India,Cassava,2000,116715,1281.7,16187.14,9.77
India,Cassava,2001,143526,1070.1,17396.96,8.32
India,Cassava,2002,123722,693.0,29190.67,13.05
India,Cassava,2003,149964,1025.7,30650.5,10.78
India,Cassava,2004,147209,1367.0,29444.04,9.9
India,Cassava,2005,150146,1085.5,18119.12,11.89
India,Cassava,2006,144195,1205.6,16327.94,8.15
India,Cassava,2007,151436,836.2,29836.42,10.51
India,Cassava,2008,138100,1209.3,30092.42,10.71
India,Cassava,2009,149477,1120.0,28974.25,8.02
India,Cassava,2010,120782,796.8,29269.25,12.19
India,Cassava,2011,128838,828.2,20747.29,10.01
India,Cassava,2012,135687,1221.1,21988.12,8.63
India,Cassava,2013,110048,733.7,19282.26,7.87
India,Sweet potatoes,1995,127293,1163.5,23994.17,11.6
India,Sweet potatoes,1996,122531,1022.3,22354.96,9.47
India,Sweet potatoes,1997,115286,504.6,23545.29,7.36
India,Sweet potatoes,1998,137662,1118.8,27744.3,10.89
India,Sweet potatoes,1999,143213,985.2,17886.31,10.44
India,Sweet potatoes,2000,108669,656.4,22253.1,9.54
India,Sweet potatoes,2001,118636,608.8,27929.8,8.22
India,Sweet potatoes,2002,110806,1032.3,26527.7,7.48
India,Sweet potatoes,2003,125963,618.1,17274.21,9.63
India,Sweet potatoes,2004,102405,861.5,26643.23,7.85
India,Sweet potatoes,2005,119147,491.8,31211.35,10.69
India,Sweet potatoes,2006,131599,895.5,15220.99,12.17
India,Sweet potatoes,2007,141944,877.2,28932.98,10.86
India,Sweet potatoes,2008,115157,699.8,25405.08,8.93
India,Sweet potatoes,2009,108260,584.6,28495.58,8.88
India,Sweet potatoes,2010,107056,797.4,26636.19,11.99
India,Sweet potatoes,2011,110970,682.5,25338.06,13.42
India,Sweet potatoes,2012,106726,1009.7,18977.77,10.65
India,Sweet potatoes,2013,124686,883.9,25936.98,9.75
India,Yams,1995,120880,679.6,23555.91,7.8
India,Yams,1996,138157,629.5,20762.65,12.61
India,Yams,1997,111860,935.5,18183.81,12.59
India,Yams,1998,115066,686.3,17471.52,8.37
India,Yams,1999,136858,825.8,14804.99,8.76
India,Yams,2000,130230,873.7,29159.81,7.5
India,Yams,2001,128950,387.7,19694.74,10.59
India,Yams,2002,111375,1198.2,22131.02,10.66
India,Yams,2003,136460,957.1,17171.78,10.11
India,Yams,2004,120306,875.5,15914.2,7.73
India,Yams,2005,141949,680.5,25989.97,11.97
India,Yams,2006,142847,606.0,31849.19,9.48
India,Yams,2007,136507,1117.2,23707.83,10.22
India,Yams,2008,140653,896.5,16937.99,9.49
India,Yams,2009,121417,1014.1,15453.93,11.52
India,Yams,2010,139442,689.4,16475.93,7.86
India,Yams,2011,120754,462.3,22015.7,10.8
India,Yams,2012,135873,955.8,31288.59,13.98
India,Yams,2013,144236,892.3,21969.09,9.83
India,Plantains and others,1995,153332,861.1,26982.11,10.5
India,Plantains and others,1996,169220,767.8,16300.62,8.78
India,Plantains and others,1997,181576,816.5,24610.54,9.97
India,Plantains and others,1998,181152,808.8,24122.24,11.3
India,Plantains and others,1999,137565,820.6,20605.16,7.89
India,Plantains and others,2000,137684,688.2,14192.62,9.69
India,Plantains and others,2001,161812,838.7,30782.07,10.84
India,Plantains and others,2002,133715,844.5,21680.85,6.83
India,Plantains and others,2003,169436,568.1,24955.88,10.95
India,Plantains and others,2004,195732,791.3,15239.44,12.37
India,Plantains and others,2005,148139,875.0,31574.93,9.45
India,Plantains and others,2006,134978,711.3,26587.4,9.5
India,Plantains and others,2007,171299,885.6,28841.55,9.99
India,Plantains and others,2008,157049,1063.2,23934.41,7.61
India,Plantains and others,2009,152380,557.6,21263.71,9.63
India,Plantains and others,2010,139000,981.4,28418.99,11.2
India,Plantains and others,2011,138139,739.4,15396.64,5.84
India,Plantains and others,2012,146277,750.1,24559.29,10.62
India,Plantains and others,2013,167419,870.9,17223.01,10.92
Pakistan,Maize,1995,112744,983.0,7604.81,24.82
Pakistan,Maize,1996,100805,742.9,8218.75,24.18
Pakistan,Maize,1997,118274,1316.1,12307.59,25.22
Pakistan,Maize,1998,101962,1508.8,8763.93,23.09
Pakistan,Maize,1999,110679,1242.0,10296.36,26.36
Pakistan,Maize,2000,89289,1326.3,10251.71,26.17
Pakistan,Maize,2001,104696,1007.4,11245.64,24.99
Pakistan,Maize,2002,114228,1223.1,6747.3,25.03
Pakistan,Maize,2003,96717,1100.9,8365.68,26.97
Pakistan,Maize,2004,93398,1431.1,7697.8,26.74
Pakistan,Maize,2005,100265,1347.6,11916.27,23.75
Pakistan,Maize,2006,94359,1423.0,9330.03,26.98
Pakistan,Maize,2007,115832,1355.3,12228.88,23.41
Pakistan,Maize,2008,117612,1169.1,13720.67,24.95
Pakistan,Maize,2009,118675,1621.7,12280.93,27.77
Pakistan,Maize,2010,120680,1117.7,9500.99,25.46
Pakistan,Maize,2011,106483,1178.6,10284.82,22.84
Pakistan,Maize,2012,93548,1441.0,9050.51,25.12
Pakistan,Maize,2013,100134,1363.8,12037.28,24.62
Pakistan,Potatoes,1995,246128,1312.4,11297.54,25.31
Pakistan,Potatoes,1996,247876,1433.7,8686.23,23.59
Pakistan,Potatoes,1997,189465,1449.0,10190.53,26.06
Pakistan,Potatoes,1998,180026,1329.3,12300.59,24.94
Pakistan,Potatoes,1999,238350,1240.7,10924.59,24.75
Pakistan,Potatoes,2000,239453,1272.2,11856.41,22.5
Pakistan,Potatoes,2001,203319,1775.6,9624.63,26.61
Pakistan,Potatoes,2002,230602,1672.0,12327.24,25.88
Pakistan,Potatoes,2003,172154,1140.6,9533.44,25.65
Pakistan,Potatoes,2004,190629,1463.7,13405.7,23.4
Pakistan,Potatoes,2005,226007,1568.8,7951.12,24.21
Pakistan,Potatoes,2006,199743,1447.8,7957.82,27.2
Pakistan,Potatoes,2007,228193,1354.6,6784.29,27.21
Pakistan,Potatoes,2008,197420,978.5,7920.87,23.12
Pakistan,Potatoes,2009,251049,1121.7,12096.93,21.54
Pakistan,Potatoes,2010,214863,931.7,10027.15,27.22
Pakistan,Potatoes,2011,229281,1566.1,7885.32,23.97
Pakistan,Potatoes,2012,232312,1800.6,7806.21,24.41
Pakistan,Potatoes,2013,228643,1727.0,11737.79,27.91
Pakistan,"Rice, paddy",1995,89416,1108.0,11145.64,26.21
Pakistan,"Rice, paddy",1996,105629,1495.0,10435.1,23.85
Pakistan,"Rice, paddy",1997,79837,643.3,6590.71,26.17
Pakistan,"Rice, paddy",1998,93849,1072.0,7228.42,24.67
Pakistan,"Rice, paddy",1999,95955,1303.2,8768.19,25.81
Pakistan,"Rice, paddy",2000,102201,1188.6,8807.92,25.31
Pakistan,"Rice, paddy",2001,87339,1533.2,10186.56,21.79
Pakistan,"Rice, paddy",2002,75844,963.1,6332.66,23.01
Pakistan,"Rice, paddy",2003,83432,1161.4,9933.4,26.12
Pakistan,"Rice, paddy",2004,84340,1508.7,12345.12,24.58
Pakistan,"Rice, paddy",2005,77680,1243.2,9924.95,27.11
Pakistan,"Rice, paddy",2006,91564,1334.7,10140.43,24.28
Pakistan,"Rice, paddy",2007,96336,1491.5,7871.78,26.13
Pakistan,"Rice, paddy",2008,110189,1384.4,11516.14,23.97
Pakistan,"Rice, paddy",2009,105816,1086.7,8735.0,23.46
Pakistan,"Rice, paddy",2010,91307,1120.6,12481.07,23.41
Pakistan,"Rice, paddy",2011,104929,1193.7,7670.64,24.86
Pakistan,"Rice, paddy",2012,89930,1335.8,10256.35,23.08
Pakistan,"Rice, paddy",2013,107899,1371.8,11431.24,25.03
Pakistan,Wheat,1995,74106,1221.4,7148.26,23.92
Pakistan,Wheat,1996,64669,1005.2,9427.77,25.79
Pakistan,Wheat,1997,58094,1271.1,8020.52,25.44
Pakistan,Wheat,1998,76548,1163.6,7443.22,24.02
Pakistan,Wheat,1999,73947,1485.3,6599.43,29.15
Pakistan,Wheat,2000,68512,1200.5,10916.19,25.13
Pakistan,Wheat,2001,60765,1251.3,9457.18,23.56
Pakistan,Wheat,2002,68100,1174.8,9061.09,28.1
Pakistan,Wheat,2003,74372,1121.1,9893.94,25.01
Pakistan,Wheat,2004,60161,1139.1,11951.28,24.79
Pakistan,Wheat,2005,74050,1129.5,8844.01,24.07
Pakistan,Wheat,2006,75185,971.3,12839.14,25.04
Pakistan,Wheat,2007,78679,1214.2,9940.42,25.71
Pakistan,Wheat,2008,70368,1284.0,13301.27,23.71
Pakistan,Wheat,2009,74741,1087.3,11634.91,24.88
Pakistan,Wheat,2010,63666,1593.6,13932.28,23.98
Pakistan,Wheat,2011,67409,906.7,12837.82,25.21
Pakistan,Wheat,2012,79658,1574.9,10149.32,25.75
Pakistan,Wheat,2013,73631,1049.3,12391.73,25.08
Pakistan,Soybeans,1995,41285,1428.9,11719.49,24.2
Pakistan,Soybeans,1996,46120,1129.2,11753.49,24.06
Pakistan,Soybeans,1997,37865,1209.6,9901.36,23.03
Pakistan,Soybeans,1998,50973,1299.6,9242.32,25.27
Pakistan,Soybeans,1999,46164,1319.8,10513.74,24.82
Pakistan,Soybeans,2000,43626,1003.9,5996.5,24.48
Pakistan,Soybeans,2001,38445,1663.9,12327.08,25.25
Pakistan,Soybeans,2002,47470,1096.3,12220.07,25.84
Pakistan,Soybeans,2003,44610,1675.2,8491.74,25.45
Pakistan,Soybeans,2004,42346,1245.1,8919.2,26.98
Pakistan,Soybeans,2005,45621,1175.8,7736.88,26.48
Pakistan,Soybeans,2006,42868,1165.1,9089.45,24.23
Pakistan,Soybeans,2007,41144,1461.5,11141.21,26.9
Pakistan,Soybeans,2008,44883,1274.8,13795.8,26.85
Pakistan,Soybeans,2009,47945,1383.4,9287.84,23.62
Pakistan,Soybeans,2010,39749,1217.0,13030.5,25.73
Pakistan,Soybeans,2011,41186,1612.2,10855.02,26.51
Pakistan,Soybeans,2012,52467,1539.8,13987.08,22.78
Pakistan,Soybeans,2013,40295,1476.7,12172.97,25.96
